dim,cross,time
3,1,0
9,1,6
9,2,0
9,3,0
9,4,0
27,1,32
27,2,12
27,3,8
27,4,2
27,5,1
27,6,3
27,7,0
27,8,3
27,9,0
27,10,0
27,11,0
27,12,0
27,13,0
81,1,850
81,2,160
81,3,32
81,4,30
81,5,30
81,6,9
81,7,9
81,8,9
81,9,9
81,10,9
81,11,2
81,12,3
81,13,3
81,14,3
81,15,3
81,16,3
81,17,3
81,18,3
81,19,3
81,20,3
81,21,1
81,22,1
81,23,1
81,24,1
81,25,1
81,26,1
81,27,1
81,28,1
81,29,1
81,30,1
81,31,1
81,32,1
81,33,1
81,34,1
81,35,1
81,36,1
81,37,1
81,38,1
81,39,1
81,40,1
243,1,5295
243,2,1059
243,3,1019
243,4,237
243,5,238
243,6,239
243,7,238
243,8,71
243,9,71
243,10,71
243,11,72
243,12,71
243,13,70
243,14,71
243,15,70
243,16,30
243,17,30
243,18,30
243,19,30
243,20,30
243,21,30
243,22,30
243,23,30
243,24,30
243,25,30
243,26,30
243,27,30
243,28,30
243,29,30
243,30,30
243,31,16
243,32,16
243,33,16
243,34,16
243,35,17
243,36,17
243,37,16
243,38,16
243,39,17
243,40,16
243,41,17
243,42,16
243,43,16
243,44,17
243,45,16
243,46,17
243,47,17
243,48,16
243,49,16
243,50,16
243,51,17
243,52,17
243,53,16
243,54,17
243,55,16
243,56,17
243,57,18
243,58,17
243,59,17
243,60,16
243,61,13
243,62,13
243,63,13
243,64,13
243,65,13
243,66,13
243,67,13
243,68,13
243,69,13
243,70,13
243,71,13
243,72,13
243,73,13
243,74,13
243,75,13
243,76,13
243,77,13
243,78,13
243,79,13
243,80,13
243,81,13
243,82,13
243,83,13
243,84,13
243,85,13
243,86,13
243,87,13
243,88,13
243,89,13
243,90,13
243,91,13
243,92,12
243,93,13
243,94,12
243,95,13
243,96,12
243,97,13
243,98,13
243,99,13
243,100,13
243,101,13
243,102,13
243,103,13
243,104,13
243,105,13
243,106,13
243,107,13
243,108,12
243,109,12
243,110,13
243,111,13
243,112,13
243,113,13
243,114,13
243,115,13
243,116,13
243,117,13
243,118,13
243,119,13
243,120,13
243,121,12
729,1,263680
729,2,53715
729,3,9511
729,4,9505
729,5,9625
729,6,2499
729,7,2578
729,8,2464
729,9,2467
729,10,2463
729,11,2461
729,12,904
729,13,912
729,14,904
729,15,913
729,16,905
729,17,905
729,18,905
729,19,905
729,20,902
729,21,906
729,22,903
729,23,390
729,24,390
729,25,390
729,26,390
729,27,390
729,28,391
729,29,390
729,30,390
729,31,390
729,32,390
729,33,391
729,34,389
729,35,390
729,36,389
729,37,390
729,38,391
729,39,391
729,40,390
729,41,389
729,42,390
729,43,392
729,44,389
729,45,390
729,46,300
729,47,300
729,48,299
729,49,299
729,50,303
729,51,300
729,52,300
729,53,300
729,54,299
729,55,300
729,56,301
729,57,300
729,58,300
729,59,300
729,60,299
729,61,300
729,62,299
729,63,301
729,64,300
729,65,300
729,66,300
729,67,300
729,68,300
729,69,300
729,70,302
729,71,301
729,72,301
729,73,299
729,74,301
729,75,301
729,76,300
729,77,301
729,78,300
729,79,300
729,80,301
729,81,301
729,82,300
729,83,301
729,84,300
729,85,300
729,86,300
729,87,300
729,88,300
729,89,301
729,90,302
729,91,300
729,92,258
729,93,259
729,94,259
729,95,259
729,96,304
729,97,330
729,98,265
729,99,260
729,100,259
729,101,260
729,102,260
729,103,259
729,104,260
729,105,259
729,106,259
729,107,260
729,108,259
729,109,260
729,110,259
729,111,259
729,112,260
729,113,259
729,114,259
729,115,259
729,116,258
729,117,259
729,118,259
729,119,259
729,120,260
729,121,259
729,122,259
729,123,259
729,124,259
729,125,260
729,126,296
729,127,276
729,128,315
729,129,273
729,130,259
729,131,258
729,132,260
729,133,260
729,134,262
729,135,259
729,136,260
729,137,260
729,138,259
729,139,258
729,140,261
729,141,259
729,142,261
729,143,260
729,144,259
729,145,259
729,146,260
729,147,263
729,148,261
729,149,261
729,150,260
729,151,259
729,152,259
729,153,259
729,154,261
729,155,260
729,156,258
729,157,259
729,158,261
729,159,259
729,160,259
729,161,259
729,162,258
729,163,258
729,164,260
729,165,260
729,166,259
729,167,259
729,168,260
729,169,259
729,170,259
729,171,259
729,172,259
729,173,260
729,174,258
729,175,259
729,176,259
729,177,258
729,178,259
729,179,259
729,180,258
729,181,261
729,182,260
729,183,248
729,184,249
729,185,248
729,186,247
729,187,248
729,188,248
729,189,249
729,190,248
729,191,248
729,192,248
729,193,248
729,194,248
729,195,248
729,196,248
729,197,249
729,198,249
729,199,249
729,200,249
729,201,250
729,202,248
729,203,249
729,204,248
729,205,249
729,206,247
729,207,249
729,208,249
729,209,248
729,210,248
729,211,248
729,212,249
729,213,249
729,214,249
729,215,249
729,216,248
729,217,248
729,218,248
729,219,250
729,220,248
729,221,249
729,222,248
729,223,249
729,224,249
729,225,248
729,226,248
729,227,248
729,228,249
729,229,251
729,230,250
729,231,248
729,232,248
729,233,249
729,234,248
729,235,249
729,236,248
729,237,249
729,238,248
729,239,248
729,240,248
729,241,247
729,242,248
729,243,248
729,244,249
729,245,249
729,246,249
729,247,248
729,248,249
729,249,250
729,250,249
729,251,248
729,252,248
729,253,250
729,254,247
729,255,249
729,256,248
729,257,248
729,258,248
729,259,249
729,260,250
729,261,249
729,262,248
729,263,249
729,264,249
729,265,248
729,266,248
729,267,249
729,268,248
729,269,250
729,270,248
729,271,248
729,272,248
729,273,248
729,274,248
729,275,248
729,276,249
729,277,250
729,278,249
729,279,248
729,280,248
729,281,248
729,282,248
729,283,248
729,284,248
729,285,250
729,286,248
729,287,248
729,288,248
729,289,249
729,290,248
729,291,248
729,292,249
729,293,250
729,294,249
729,295,249
729,296,248
729,297,248
729,298,248
729,299,249
729,300,248
729,301,249
729,302,248
729,303,248
729,304,248
729,305,248
729,306,249
729,307,249
729,308,248
729,309,249
729,310,247
729,311,248
729,312,247
729,313,248
729,314,248
729,315,247
729,316,248
729,317,248
729,318,249
729,319,248
729,320,248
729,321,248
729,322,248
729,323,249
729,324,248
729,325,249
729,326,249
729,327,248
729,328,247
729,329,248
729,330,248
729,331,248
729,332,249
729,333,249
729,334,252
729,335,248
729,336,254
729,337,253
729,338,249
729,339,249
729,340,249
729,341,249
729,342,249
729,343,249
729,344,248
729,345,249
729,346,248
729,347,248
729,348,248
729,349,252
729,350,256
729,351,248
729,352,248
729,353,249
729,354,248
729,355,248
729,356,248
729,357,250
729,358,249
729,359,248
729,360,248
729,361,249
729,362,247
729,363,249
729,364,266
