dim,cross,time
1,1,0
2,1,0
2,2,0
4,1,1
4,2,0
4,3,0
4,4,0
8,1,1
8,2,2
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0
8,8,0
16,1,7
16,2,1
16,3,1
16,4,0
16,5,0
16,6,0
16,7,1
16,8,0
16,9,1
16,10,0
16,11,0
16,12,0
16,13,0
16,14,0
16,15,0
16,16,0
32,1,44
32,2,10
32,3,4
32,4,0
32,5,1
32,6,0
32,7,2
32,8,1
32,9,0
32,10,0
32,11,0
32,12,0
32,13,0
32,14,1
32,15,0
32,16,0
32,17,0
32,18,0
32,19,0
32,20,1
32,21,0
32,22,0
32,23,0
32,24,0
32,25,0
64,1,167
64,2,31
64,3,31
64,4,7
64,5,6
64,6,7
64,7,6
64,8,1
64,9,3
64,10,2
64,11,2
64,12,3
64,13,2
64,14,2
64,15,2
64,16,0
64,17,0
64,18,1
64,19,1
64,20,1
64,21,0
64,22,1
64,23,1
64,24,1
64,25,1
128,1,959
128,2,163
128,3,158
128,4,33
128,5,38
128,6,36
128,7,34
128,8,10
128,9,9
128,10,9
128,11,10
128,12,9
128,13,9
128,14,9
128,15,10
128,16,7
128,17,3
128,18,4
128,19,4
128,20,3
128,21,3
128,22,3
128,23,4
128,24,3
128,25,4
256,1,5393
256,2,1554
256,3,1200
256,4,286
256,5,384
256,6,257
256,7,238
256,8,65
256,9,69
256,10,70
256,11,68
256,12,68
256,13,66
256,14,65
256,15,65
256,16,25
256,17,26
256,18,25
256,19,25
256,20,27
256,21,25
256,22,26
256,23,26
256,24,26
256,25,26
512,1,39150
512,2,7620
512,3,8749
512,4,1985
512,5,1954
512,6,1865
512,7,1771
512,8,531
512,9,500
512,10,492
512,11,481
512,12,475
512,13,537
512,14,541
512,15,544
512,16,215
512,17,199
512,18,207
512,19,194
512,20,195
512,21,212
512,22,191
512,23,188
512,24,201
512,25,202
1024,1,286882
1024,2,56276
1024,3,54451
1024,4,12567
1024,5,13623
1024,6,13740
1024,7,13922
1024,8,3666
1024,9,3564
1024,10,3907
1024,11,4059
1024,12,4224
1024,13,4225
1024,14,3671
1024,15,4229
1024,16,1419
1024,17,2041
1024,18,1370
1024,19,1454
1024,20,1388
1024,21,1305
1024,22,1352
1024,23,1455
1024,24,1447
1024,25,1304
